date,Category,FQDN
20230509,FakeMcAfeeAlert,updatefreecompletelytheproduct.vip
20230509,FakeMcAfeeAlert,updateadvancedgreatlytheproduct.vip
20230509,FakeNortonAlert,recins.live
20230509,FakeMcAfeeAlert,naioh.sbs
20230509,FakeNortonAlert,pajons.live
20230509,FakeNortonAlert,hokirs.live
20230509,FakeHumanVerification,reportfr.azurewebsites.net
20230509,FakeHumanVerification,bproxy.azurewebsites.net
20230509,FakeMcAfeeAlert,allthebestjpav.link
20230509,FakeHumanVerification,noticeinsane.azurewebsites.net
20230510,FakeHumanVerification,fastcaptcha.lm.r.appspot.com
20230510,FakeMcAfeeAlert,erudka.top
20230510,FakeMcAfeeAlert,stally.click
20230511,FakeHumanVerification,azureappservice-static-mb001.azurewebsites.net
20230511,FakeHumanVerification,cutell24.azurewebsites.net
20230511,FakeMcAfeeAlert,atert.xyz
20230511,FakeHumanVerification,6a51dntsc3v1ne16.tbudz.co.in
20230511,FakeMcAfeeAlert,www.sekure.click
20230511,FakeMcAfeeAlert,allgeosecur.info
20230517,FakeMcAfeeAlert,updatecompletelyfreetheproduct.vip
20230517,FakeMcAfeeAlert,guard-mca.click
20230517,FakeMcAfeeAlert,fastdonef1.click
20230517,FakeMcAfeeAlert,www.sekuru.click
20230525,FakeMcAfeeAlert,storeprogressiveoverlyinfo-product.info
