date,Category,FQDN
20221201,FakeHumanVerification,newadslab.com
20221201,FakeMcAfeeAlert,mactik.click
20221201,FakeMcAfeeAlert,www.cateu.click
20221201,FakeMcAfeeAlert,beteg.live
20221201,FakeMcAfeeAlert,www.catus.click
20221201,FakeHumanVerification,gripehealth.com
20221201,FakeMcAfeeAlert,bulet.live
20221201,FakeMcAfeeAlert,secureutility.info
20221206,FakeHumanVerification,editormoney.com
20221206,FakeHumanVerification,adsforcomputertech.com
20221206,FakeMcAfeeAlert,gutin.live
20221206,FakeMcAfeeAlert,seying.click
20221206,FakeMcAfeeAlert,www.addeu.click
20221206,FakeHumanVerification,informblurb.com
20221207,FakeMcAfeeAlert,qcbf.globalprotectionspc.online
20221207,FakeMcAfeeAlert,histed.live
20221207,FakeMcAfeeAlert,holidaystimeb2.click
20221207,FakeMcAfeeAlert,heten.live
20221207,FakeMcAfeeAlert,takahara.space
20221208,"FakeMcAfeeAlert, FakeVideoStream",fastnetworkprotocol.com
20221208,FakeMcAfeeAlert,soaksu.one
20221208,FakeMcAfeeAlert,www.groundus.click
20221208,FakeHumanVerification,updaterlife.com
20221208,FakeMcAfeeAlert,belag.live
20221208,FakeMcAfeeAlert,adhak.live
20221208,FakeMcAfeeAlert,holidayssalec1.click
20221213,"FakeMcAfeeAlert, FakeVideoStream",natinvecontrolpc.com
20221213,FakeHumanVerification,myreqdcompany.com
20221213,FakeMcAfeeAlert,atora.live
20221213,FakeHumanVerification,pushclass.com
20221213,FakeMcAfeeAlert,www.lagereu.click
20221213,FakeHumanVerification,myedytaclub.com
20221213,FakeMcAfeeAlert,crus.live
20221213,FakeMcAfeeAlert,pclinkprotocol.com
20221213,"FakeMcAfeeAlert, FakeVideoStream",basicprotectpc.com
20221213,"FakeMcAfeeAlert, FakeVideoStream",quickpcscanner.com
20221213,FakeMcAfeeAlert,tiwohi.online
20221213,"FakeMcAfeeAlert, FakeVideoStream",internalnetworkpc.com
20221214,FakeMcAfeeAlert,lookool.click
20221214,FakeMcAfeeAlert,cuman.live
20221214,FakeMcAfeeAlert,ppm.identitysafeguardshield.site
20221214,FakeHumanVerification,topreqdusa.com
20221214,FakeHumanVerification,getarrectlive.com
20221214,FakeMcAfeeAlert,narofu.live
20221215,"FakeMcAfeeAlert, FakeVideoStream",fasterantiviruspc.com
20221220,FakeMcAfeeAlert,getprotecteds.com
20221220,FakeMcAfeeAlert,fanged.live
20221220,FakeMcAfeeAlert,seasonalpromos1.click
20221220,FakeHumanVerification,arachidenews.com
20221220,FakeMcAfeeAlert,www.horreu.click
20221220,FakeMcAfeeAlert,ufolen.click
20221220,FakeHumanVerification,pushnote.top
20221220,FakeMcAfeeAlert,ttg.yourhighpotencydefender.site
20221220,FakeMcAfeeAlert,bidems.live
20221220,"FakeHumanVerification, FakeNotificationConfirmation, FakeVideoStream",pronirtiouraper.com
20221220,FakeNortonAlert,kewosi.live
20221220,FakeHumanVerification,theupgradedata.com
20221220,FakeMcAfeeAlert,dawis.live
20221220,FakeVideoStream,open.flintguard.top
20221220,FakeHumanVerification,reqdpro.com
20221220,FakeMcAfeeAlert,protectutility.info
20221220,FakeMcAfeeAlert,avtic.live
20221220,FakeMcAfeeAlert,www.hopus.click
20221220,FakeHumanVerification,therecode247.com
20221220,FakeMcAfeeAlert,remindexpert.xyz
20221221,FakeMcAfeeAlert,www.joyceu.click
20221221,FakeHumanVerification,advfandom.com
20221221,FakeMcAfeeAlert,detic.live
20221221,DownloadFakeADBlock,fastfuriousleads.com
20221221,FakeChanceToWinPrize,www.gadgetsites.net
20221221,FakeVideoStream,aff.22track.live
20221221,"FakeMcAfeeAlert, FakeVideoStream",nativepcprotocol.com
20221221,FakeChanceToWinPrize,deonsiothess.com
20221221,FakeMcAfeeAlert,www.horrus.click
20221221,FakeNortonAlert,decemberpromos1.click
20221221,FakeAmazonNewsArticle,wvrlih.com
20221221,FakeAmazonStockInvestment,hmcvut.com
20221221,FakeMcAfeeAlert,fores.live
20221221,FakeMcAfeeAlert,secureprotectgrid.vip
20221221,FakeMcAfeeAlert,geron.live
20221222,FakeMcAfeeAlert,www.hawkus.click
20221222,FakeMcAfeeAlert,braten.live
20221222,FakeMcAfeeAlert,secureutilitygrid.vip
20221222,FakeMcAfeeAlert,dingar.live
20221222,FakeMcAfeeAlert,dimed.live
20221222,FakeMcAfeeAlert,uuj.alltimetopdefender.site
20221227,FakeHumanVerification,shovecoffee.com
20221227,FakeMcAfeeAlert,www.hawkeu.click
20221227,FakeMcAfeeAlert,dozefive.xyz
20221227,FakeMcAfeeAlert,www.eagleu.click
20221227,FakeMcAfeeAlert,timetocheck.xyz
20221227,FakeMcAfeeAlert,ffgg.defenderpcanalytics.site
20221227,FakeMcAfeeAlert,bastionthree.xyz
